time,time step,concentration,inlet concentration,volume flow rate,inlet temperature,initial concentration
0,0,0,2.4375,0.119792,304.375,0
0.1,1,0.000295123,2.4375,0.119792,304.375,0
0.2,2,0.001361824,2.4375,0.119792,304.375,0
0.3,3,0.002462954,2.4375,0.119792,304.375,0
0.4,4,0.003598587,2.4375,0.119792,304.375,0
0.5,5,0.004865004,2.4375,0.119792,304.375,0
0.6,6,0.004872857,2.4375,0.119792,304.375,0
0.7,7,0.00487945,2.4375,0.119792,304.375,0
0.8,8,0.006050733,2.4375,0.119792,304.375,0
0.9,9,0.006058356,2.4375,0.119792,304.375,0
1,10,0.006064921,2.4375,0.119792,304.375,0
1.1,11,0.007350795,2.4375,0.119792,304.375,0
1.2,12,0.007358993,2.4375,0.119792,304.375,0
1.3,13,0.007365773,2.4375,0.119792,304.375,0
1.4,14,0.008556077,2.4375,0.119792,304.375,0
1.5,15,0.008564072,2.4375,0.119792,304.375,0
1.6,16,0.008570743,2.4375,0.119792,304.375,0
1.7,17,0.009766386,2.4375,0.119792,304.375,0
1.8,18,0.009774374,2.4375,0.119792,304.375,0
1.9,19,0.009781007,2.4375,0.119792,304.375,0
2,20,0.010980303,2.4375,0.119792,304.375,0
2.1,21,0.010988321,2.4375,0.119792,304.375,0
2.2,22,0.010994995,2.4375,0.119792,304.375,0
2.3,23,0.012198999,2.4375,0.119792,304.375,0
2.4,24,0.012207067,2.4375,0.119792,304.375,0
2.5,25,0.012213776,2.4375,0.119792,304.375,0
2.6,26,0.013521373,2.4375,0.119792,304.375,0
2.7,27,0.013529855,2.4375,0.119792,304.375,0
2.8,28,0.013536904,2.4375,0.119792,304.375,0
2.9,29,0.014848069,2.4375,0.119792,304.375,0
3,30,0.014856725,2.4375,0.119792,304.375,0
3.1,31,0.014863911,2.4375,0.119792,304.375,0
3.2,32,0.016175252,2.4375,0.119792,304.375,0
3.3,33,0.016183972,2.4375,0.119792,304.375,0
3.4,34,0.016191189,2.4375,0.119792,304.375,0
3.5,35,0.017398532,2.4375,0.119792,304.375,0
3.6,36,0.017406891,2.4375,0.119792,304.375,0
3.7,37,0.017413807,2.4375,0.119792,304.375,0
3.8,38,0.018619195,2.4375,0.119792,304.375,0
3.9,39,0.018627426,2.4375,0.119792,304.375,0
4,40,0.018634237,2.4375,0.119792,304.375,0
4.1,41,0.019939742,2.4375,0.119792,304.375,0
4.2,42,0.019948323,2.4375,0.119792,304.375,0
4.3,43,0.019955432,2.4375,0.119792,304.375,0
4.4,44,0.021261193,2.4375,0.119792,304.375,0
4.5,45,0.021269915,2.4375,0.119792,304.375,0
4.6,46,0.021277135,2.4375,0.119792,304.375,0
4.7,47,0.02258657,2.4375,0.119792,304.375,0
4.8,48,0.022595349,2.4375,0.119792,304.375,0
4.9,49,0.022602598,2.4375,0.119792,304.375,0
5,50,0.023905735,2.4375,0.119792,304.375,0
5.1,51,0.023914514,2.4375,0.119792,304.375,0
5.2,52,0.023921762,2.4375,0.119792,304.375,0
5.3,53,0.025126111,2.4375,0.119792,304.375,0
5.4,54,0.025134522,2.4375,0.119792,304.375,0
5.5,55,0.025141465,2.4375,0.119792,304.375,0
5.6,56,0.026343015,2.4375,0.119792,304.375,0
5.7,57,0.026351292,2.4375,0.119792,304.375,0
5.8,58,0.026358124,2.4375,0.119792,304.375,0
5.9,59,0.027558087,2.4375,0.119792,304.375,0
6,60,0.027566328,2.4375,0.119792,304.375,0
6.1,61,0.027573141,2.4375,0.119792,304.375,0
6.2,62,0.028771356,2.4375,0.119792,304.375,0
6.3,63,0.02877959,2.4375,0.119792,304.375,0
6.4,64,0.028786394,2.4375,0.119792,304.375,0
6.5,65,0.029983974,2.4375,0.119792,304.375,0
6.6,66,0.029992208,2.4375,0.119792,304.375,0
6.7,67,0.02999901,2.4375,0.119792,304.375,0
6.8,68,0.03129529,2.4375,0.119792,304.375,0
6.9,69,0.031303907,2.4375,0.119792,304.375,0
7,70,0.031311019,2.4375,0.119792,304.375,0
7.1,71,0.03260611,2.4375,0.119792,304.375,0
7.2,72,0.032614862,2.4375,0.119792,304.375,0
7.3,73,0.032622085,2.4375,0.119792,304.375,0
7.4,74,0.033915392,2.4375,0.119792,304.375,0
7.5,75,0.033924182,2.4375,0.119792,304.375,0
7.6,76,0.033931417,2.4375,0.119792,304.375,0
7.7,77,0.035125912,2.4375,0.119792,304.375,0
7.8,78,0.035134334,2.4375,0.119792,304.375,0
7.9,79,0.03514127,2.4375,0.119792,304.375,0
8,80,0.036331519,2.4375,0.119792,304.375,0
8.1,81,0.036339802,2.4375,0.119792,304.375,0
8.2,82,0.036346622,2.4375,0.119792,304.375,0
8.3,83,0.037634969,2.4375,0.119792,304.375,0
8.4,84,0.037643591,2.4375,0.119792,304.375,0
8.5,85,0.037650702,2.4375,0.119792,304.375,0
8.6,86,0.038940278,2.4375,0.119792,304.375,0
8.7,87,0.038949038,2.4375,0.119792,304.375,0
8.8,88,0.038956258,2.4375,0.119792,304.375,0
8.9,89,0.040244587,2.4375,0.119792,304.375,0
9,90,0.040253385,2.4375,0.119792,304.375,0
9.1,91,0.04026062,2.4375,0.119792,304.375,0
9.2,92,0.04155085,2.4375,0.119792,304.375,0
9.3,93,0.041559664,2.4375,0.119792,304.375,0
9.4,94,0.041566912,2.4375,0.119792,304.375,0
9.5,95,0.042853749,2.4375,0.119792,304.375,0
9.6,96,0.042862563,2.4375,0.119792,304.375,0
9.7,97,0.042869809,2.4375,0.119792,304.375,0
9.8,98,0.044155628,2.4375,0.119792,304.375,0
9.9,99,0.044164444,2.4375,0.119792,304.375,0
10,100,0.044171689,2.4375,0.119792,304.375,0
